Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8043230944254836,0.6597402597402597,0.5438972162740899,0.596244131455399
Decision Tree,0.78839590443686,0.698744769874477,0.3576017130620985,0.4730878186968839
Random Forest,0.7792946530147895,0.7309941520467836,0.2676659528907923,0.39184952978056425
XGBoost,0.8014789533560864,0.6638888888888889,0.5117773019271948,0.5779927448609432
